,0,1,2,3
0,because overpopulated species can be thinned out.,Some people may object to hunting on the basis of humane treatment of animals.,hunting_improves_environment,neutral
1,Getting rid of an overpopulation enables the smaller animals in the food chain to grow.,Some people may object to hunting on the basis of humane treatment of animals.,hunting_improves_environment,neutral
2,"It also allows for nature to take back the woods and grasslands, which will also enable other wildlife to grow.",Some people may object to hunting on the basis of humane treatment of animals.,hunting_improves_environment,neutral
3,"Animals do not necessarily feel pain as we do,",because overpopulated species can be thinned out.,hunting_improves_environment,neutral
4,"In the absence of wolves and other large predators, humans become the deer population control to keep to deer from over-grazing regional flora.",Hunting is good.,hunting_improves_environment,neutral
5,"While I do acknowledge that older parents do have more life knowledge,",they also are going to have a more difficult time staying active with the child.,older_people_better_parents,neutral
6,Children are INCREDIBLY active,"and may be able to offer their child more guidance when it comes to difficult decisions that child will have to face,",older_people_better_parents,neutral
7,Children are INCREDIBLY active,"While I do acknowledge that older parents do have more life knowledge,",older_people_better_parents,neutral
8,"the inexperience of a young parent can be offset by their parents (the child's grandparents), god parents, and family friends.","and may be able to offer their child more guidance when it comes to difficult decisions that child will have to face,",older_people_better_parents,neutral
9,"the inexperience of a young parent can be offset by their parents (the child's grandparents), god parents, and family friends.","It would seem to me to discourage physical activity if the parents are older, and this is at a time when children as a whole are becoming less physically fit and less active.",older_people_better_parents,neutral
10,"the inexperience of a young parent can be offset by their parents (the child's grandparents), god parents, and family friends.",they also are going to have a more difficult time staying active with the child.,older_people_better_parents,neutral
11,"It would seem to me to discourage physical activity if the parents are older, and this is at a time when children as a whole are becoming less physically fit and less active.","While I do acknowledge that older parents do have more life knowledge,",older_people_better_parents,neutral
12,it is simply not the case that growing older means growing wiser.,Older people do not necessarily make better parents.,older_people_better_parents,neutral
13,Older people are far more mature than this new generation of slackers and hipsters.,"Some might say that older people are not physically fit enough to take care of children the way younger people would be,",older_people_better_parents,neutral
14,"Older people make far more money than younger people on average,",so that really does not make much of a difference now.,older_people_better_parents,neutral
15,"Older people make far more money than younger people on average,","Some might say that older people are not physically fit enough to take care of children the way younger people would be,",older_people_better_parents,neutral
16,Older people have far more experience than younger people.,so that really does not make much of a difference now.,older_people_better_parents,neutral
17,Older people have far more experience than younger people.,"Some might say that older people are not physically fit enough to take care of children the way younger people would be,",older_people_better_parents,neutral
18,so that really does not make much of a difference now.,Do older people make better parents? In this day and age the answer can only be yes.,older_people_better_parents,neutral
19,They have had time to mature more and learn about themselves.,"Some might say being too old risks the child being disabled,",older_people_better_parents,neutral
20,They have had time to mature more and learn about themselves.,so they can provide for a child.,older_people_better_parents,neutral
21,They're more likely to have steady careers going,"Some might say being too old risks the child being disabled,",older_people_better_parents,neutral
22,They're more likely to have steady careers going,I think it's possible for older people to be better parents.,older_people_better_parents,neutral
23,They will be more able to make sure their kids have everything they need.,One problem is they may not be as able to keep up with their kids or not be able to do as much fun stuff with them.,older_people_better_parents,neutral
24,They may be more financially secure.,One problem is they may not be as able to keep up with their kids or not be able to do as much fun stuff with them.,older_people_better_parents,neutral
25,But they can provide a more stable home.,Older parents may make better parents.,older_people_better_parents,neutral
26,But they can provide a more stable home.,They will be more able to make sure their kids have everything they need.,older_people_better_parents,neutral
27,"to sidestep the real issues which are lax to nonexistent policing, non-consistent prosecution and lenient sentencing.",It's the criminals who commit these violent acts against wildlife who need to be 'removed' from society itself.,removal_of_rhino_horns,neutral
28,"When you mutilate an animal, you are the problem.",The horns of wild rhinos should not be removed to prevent them from being poached.,removal_of_rhino_horns,neutral
29,"Removing the rhino horns is the crime, not just removing the rhino's horns for money.",The horns of wild rhinos should not be removed to prevent them from being poached.,removal_of_rhino_horns,neutral
30,Saying that you are mutilating the animal to protect people from mutilation poaching is absurd,The horns of wild rhinos should not be removed to prevent them from being poached.,removal_of_rhino_horns,neutral
31,It's an attack on the animal.,The horns of wild rhinos should not be removed to prevent them from being poached.,removal_of_rhino_horns,neutral
32,Don't they need them for survival?,"On one hand, yes I think removing rhinos' horns would be a good idea.",removal_of_rhino_horns,neutral
33,Removing the horns of wild rhinos leaves them defenseless.,Some say removing the horns will keep poachers from killing rhinos.,removal_of_rhino_horns,neutral
34,We live in the age of technology,If this doesn't change we could find that families become even more dysfunctional as a unit.,cell_phones_and_social_media_improve_families,neutral
35,Family time used to be about spending quality time and actually talking to each other.,and it needs to be rectified.,cell_phones_and_social_media_improve_families,neutral
36,Family time used to be about spending quality time and actually talking to each other.,If this doesn't change we could find that families become even more dysfunctional as a unit.,cell_phones_and_social_media_improve_families,neutral
37,This is driving a wedge between families,and it needs to be rectified.,cell_phones_and_social_media_improve_families,neutral
38,Family time needs to be a time where cell phones are put away and interaction with each other has everyone's full attention.,If this doesn't change we could find that families become even more dysfunctional as a unit.,cell_phones_and_social_media_improve_families,neutral
39,If this doesn't change we could find that families become even more dysfunctional as a unit.,but the constant use of cell phones is definitely not bringing families closer together.,cell_phones_and_social_media_improve_families,neutral
40,"Though, there has been no scientific research to date that can confirm this outcome.",but the constant use of cell phones is definitely not bringing families closer together.,cell_phones_and_social_media_improve_families,neutral
41,They stay in touch with each other throughout the day,"however, it seems as though families are closer nowadays.",cell_phones_and_social_media_improve_families,neutral
42,I can talk to my cousins whenever I like.,"however, it seems as though families are closer nowadays.",cell_phones_and_social_media_improve_families,neutral
43,"I have to admit though, that having the ability to communicate so freely does not mean that we do it.","however, it seems as though families are closer nowadays.",cell_phones_and_social_media_improve_families,neutral
44,We can improve our day to day life a lot.,We can share all of our thought instantly.,cell_phones_and_social_media_improve_families,neutral
45,Because it consumes very less time as a communication channel.,We can improve our day to day life a lot.,cell_phones_and_social_media_improve_families,neutral
46,Cell phones and social media are really useful for society.,"Yes, cell phones and social media have made families closer.",cell_phones_and_social_media_improve_families,neutral
47,We can share all of our thought instantly.,"Yes, cell phones and social media have made families closer.",cell_phones_and_social_media_improve_families,neutral
48,We can share all of our thought instantly.,We can improve our day to day life a lot.,cell_phones_and_social_media_improve_families,neutral
49,"Taking the time to get to know someone, especially someone you plan to spend your whole life with, is critical.","Though some people may believe shorter time would be okay,",dating_before_engagement,neutral
50,"looking at the high rate of divorce,",People should date at least one year before getting engaged.,dating_before_engagement,neutral
51,Some people may be more comfortable with extended dating.,Therefore there's no simple hard and fast rule that suffices for this question.,dating_before_engagement,neutral
52,It takes at least this long to get to know each other on a level deeper than attraction.,"Christians who believe in waiting till marriage for sex could argue that it is better to marry sooner than to have premarital sex.  This may be true,",dating_before_engagement,neutral
53,They should use this time to learn of each others character and beliefs.,"Christians who believe in waiting till marriage for sex could argue that it is better to marry sooner than to have premarital sex.  This may be true,",dating_before_engagement,neutral
54,Families should get to know them as a couple as well.,"Christians who believe in waiting till marriage for sex could argue that it is better to marry sooner than to have premarital sex.  This may be true,",dating_before_engagement,neutral
55,but it also takes a much larger chance that the couple will actually be compatible in the long run.,People should date for at least 1 year before they become engaged.,dating_before_engagement,neutral
56,To do so will take time though.,I say they need to date at least one year.,dating_before_engagement,neutral
57,That will give them time to see the good and the bad.,I say they need to date at least one year.,dating_before_engagement,neutral
58,That will give them time to see the good and the bad.,People should get to know each other well before they become engaged.,dating_before_engagement,neutral
59,Fracking causing environmental problems such as polluting the water supply.,There are other sources of energy that are safer than using fracking.,fracking,neutral
60,Fracking causing environmental problems such as polluting the water supply.,Some may say that fracking is needed,fracking,neutral
