X,Y,Z,topic,Source
because overpopulated species can be thinned out.,Hunting is good for the environment,sup,hunting_improves_environment,micro_c001.xml
Getting rid of an overpopulation enables the smaller animals in the food chain to grow.,because overpopulated species can be thinned out.,sup,hunting_improves_environment,micro_c001.xml
"It also allows for nature to take back the woods and grasslands, which will also enable other wildlife to grow.",because overpopulated species can be thinned out.,sup,hunting_improves_environment,micro_c001.xml
Some people may object to hunting on the basis of humane treatment of animals.,Hunting is good for the environment,reb,hunting_improves_environment,micro_c001.xml
"Animals do not necessarily feel pain as we do,",Some people may object to hunting on the basis of humane treatment of animals.,reb,hunting_improves_environment,micro_c001.xml
"and if there are not enough resources to sustain an overpopulation, then a quick bullet or arrow is better than slow starvation.",Some people may object to hunting on the basis of humane treatment of animals.,reb,hunting_improves_environment,micro_c001.xml
"In some cases, hunting can remove threats to the environment.",Hunting is good for the environment.,sup,hunting_improves_environment,micro_c002.xml
"Texas, in particular, has an overabundance of wild/feral boars that destroy farmers' fields, and root up other ground, too.","In some cases, hunting can remove threats to the environment.",exa,hunting_improves_environment,micro_c002.xml
"Furthermore, hunting your own meat saves up the natural resources that would otherwise be used in a processing plant.",Hunting is good for the environment.,sup,hunting_improves_environment,micro_c002.xml
as it provides a sustainable resource.,"Overall, hunting poses no real threat to the environment.",sup,hunting_improves_environment,micro_c003.xml
Hunting thins the herd of animals and makes the group as a whole healthier.,as it provides a sustainable resource.,sup,hunting_improves_environment,micro_c003.xml
"Some would argue that hunting puts a species at risk for extinction,","Overall, hunting poses no real threat to the environment.",reb,hunting_improves_environment,micro_c003.xml
but good wildlife management practices mitigate this risk.,"Some would argue that hunting puts a species at risk for extinction,",und,hunting_improves_environment,micro_c003.xml
"In the absence of wolves and other large predators, humans become the deer population control to keep to deer from over-grazing regional flora.",so it is also important not to over-hunt.,sup,hunting_improves_environment,micro_c004.xml
so it is also important not to over-hunt.,"As long as restraint and practicality are applied to hunting, the environment will not suffer.",sup,hunting_improves_environment,micro_c004.xml
"As long as restraint and practicality are applied to hunting, the environment will not suffer.",Hunting is good.,sup,hunting_improves_environment,micro_c004.xml
"While I do acknowledge that older parents do have more life knowledge,","and may be able to offer their child more guidance when it comes to difficult decisions that child will have to face,",sup,older_people_better_parents,micro_c005.xml
"and may be able to offer their child more guidance when it comes to difficult decisions that child will have to face,",I believe that older people don't make better parents.,reb,older_people_better_parents,micro_c005.xml
they also are going to have a more difficult time staying active with the child.,"It would seem to me to discourage physical activity if the parents are older, and this is at a time when children as a whole are becoming less physically fit and less active.",sup,older_people_better_parents,micro_c005.xml
